node_id,field_rights_statement
192633,No Known Copyright
197657,No Known Copyright
197697,No Known Copyright
201991,No Known Copyright
195079,No Known Copyright
200103,No Known Copyright
197194,No Known Copyright
197738,No Known Copyright
196491,No Known Copyright
197804,No Known Copyright
192657,No Known Copyright
192953,No Known Copyright
200778,No Known Copyright
204267,No Known Copyright
201220,No Known Copyright
197224,No Known Copyright
201307,No Known Copyright
201346,No Known Copyright
198138,No Known Copyright
192830,No Known Copyright
197848,No Known Copyright
201361,No Known Copyright
201496,No Known Copyright
192683,No Known Copyright
197783,No Known Copyright
200098,No Known Copyright
192901,No Known Copyright
201355,No Known Copyright
201358,No Known Copyright
93174,No Known Copyright
192290,No Known Copyright
204885,No Known Copyright
200785,No Known Copyright
95291,No Known Copyright
94922,No Known Copyright
175173,No Known Copyright
95650,No Known Copyright
175008,No Known Copyright
188174,No Known Copyright
94654,No Known Copyright
96285,No Known Copyright
96288,No Known Copyright
96296,No Known Copyright
96293,No Known Copyright
96282,No Known Copyright
94637,No Known Copyright
94659,No Known Copyright
95327,No Known Copyright
93156,No Known Copyright
93159,No Known Copyright
93164,No Known Copyright
93130,No Known Copyright
93141,No Known Copyright
93144,No Known Copyright
93147,No Known Copyright
93153,No Known Copyright
94689,No Known Copyright
93297,No Known Copyright
93169,No Known Copyright
93150,No Known Copyright
95324,No Known Copyright
96305,No Known Copyright
188176,No Known Copyright
95647,No Known Copyright
94746,No Known Copyright
176013,No Known Copyright
93098,No Known Copyright
95663,No Known Copyright
17025,No Known Copyright
95709,No Known Copyright
94709,No Known Copyright
93074,No Known Copyright
96029,No Known Copyright
93101,No Known Copyright
94727,No Known Copyright
95686,No Known Copyright
93095,No Known Copyright
174915,No Known Copyright
94676,No Known Copyright
175617,No Known Copyright
96248,No Known Copyright
93746,No Known Copyright
94739,No Known Copyright
96302,No Known Copyright
94668,No Known Copyright
93104,No Known Copyright
95703,No Known Copyright
95706,No Known Copyright
96299,No Known Copyright
96495,No Known Copyright
95697,No Known Copyright
96492,No Known Copyright
95700,No Known Copyright
93107,No Known Copyright
93110,No Known Copyright
176020,No Known Copyright
93123,No Known Copyright
96659,No Known Copyright
175432,No Known Copyright
94743,No Known Copyright
94749,No Known Copyright
187309,No Known Copyright
93126,No Known Copyright
187308,No Known Copyright
94717,No Known Copyright
94700,No Known Copyright
94733,No Known Copyright
93200,No Known Copyright
94730,No Known Copyright
93206,No Known Copyright
96506,No Known Copyright
96501,No Known Copyright
96518,No Known Copyright
96521,No Known Copyright
94662,No Known Copyright
96527,No Known Copyright
94706,No Known Copyright
93209,No Known Copyright
93212,No Known Copyright
94643,No Known Copyright
190432,No Known Copyright
93218,No Known Copyright
93215,No Known Copyright
93285,No Known Copyright
93066,No Known Copyright
93277,No Known Copyright
96524,No Known Copyright
181525,No Known Copyright
94752,No Known Copyright
192129,No Known Copyright
176113,No Known Copyright
96530,No Known Copyright
176072,No Known Copyright
96498,No Known Copyright
96515,No Known Copyright
96533,No Known Copyright
93282,No Known Copyright
175287,No Known Copyright
93222,No Known Copyright
187307,No Known Copyright
93225,No Known Copyright
94915,No Known Copyright
93228,No Known Copyright
93269,No Known Copyright
93274,No Known Copyright
93235,No Known Copyright
96512,No Known Copyright
94640,No Known Copyright
95196,No Known Copyright
96536,No Known Copyright
176084,No Known Copyright
16962,No Known Copyright
60787,No Known Copyright
93246,No Known Copyright
93238,No Known Copyright
93263,No Known Copyright
93289,No Known Copyright
94665,No Known Copyright
93241,No Known Copyright
94935,No Known Copyright
174209,No Known Copyright
96546,No Known Copyright
94714,No Known Copyright
94671,No Known Copyright
93266,No Known Copyright
95332,No Known Copyright
95518,No Known Copyright
96261,No Known Copyright
94697,No Known Copyright
94703,No Known Copyright
93197,No Known Copyright
59089,No Known Copyright
96964,No Known Copyright
187306,No Known Copyright
94722,No Known Copyright
94692,No Known Copyright
96541,No Known Copyright
96895,No Known Copyright
96671,No Known Copyright
96676,No Known Copyright
96679,No Known Copyright
93071,No Known Copyright
94650,No Known Copyright
95612,No Known Copyright
95692,No Known Copyright
95689,No Known Copyright
174332,No Known Copyright
93203,No Known Copyright
96509,No Known Copyright
96791,No Known Copyright
96682,No Known Copyright
93292,No Known Copyright
96668,No Known Copyright
176051,No Known Copyright
